exchange, name, bankroll, eProfit, sdProfit, pptd, winRate, buyRate, days, hProfit
FRA       ,       6BA.F.csv,   6.977,  0.13,  0.66,   0.028,  0.41,   0.215,  260
BSE       , FILATFASH.BO.csv,   6.830,  0.02,  0.04,   0.008,  0.67,   0.319,  260
BSE       , STARLITE.BO.csv,   6.800,  0.02,  0.04,   0.008,  0.54,   0.492,  260
BSE       ,   JAIPAN.BO.csv,   6.740,  0.02,  0.03,   0.008,  0.63,   0.396,  260
0001"     ,     0TUA.MU.csv,   6.735,  0.02,  0.09,   0.009,  0.37,   0.415,  260
SET       ,    CPH-R.BK.csv,   6.645,  0.02,  0.08,   0.009,  0.13,   0.535,  260
BSE       ,      RIR.BO.csv,   6.613,  0.02,  0.04,   0.008,  0.69,   0.327,  260
HKG       ,     8220.HK.csv,   6.608,  0.07,  0.80,   0.034,  0.19,   0.481,  260
NSI       , KAUSHALYA.NS.csv,   6.563,  0.03,  0.05,   0.008,  0.64,   0.308,  260
NGM       ,        SMMT.csv,   6.498,  0.05,  0.28,   0.012,  0.54,   0.219,  260
BSE       ,     GBFL.BO.csv,   6.444,  0.03,  0.04,   0.007,  0.72,   0.273,  260
HKG       ,     1229.HK.csv,   6.414,  0.09,  0.90,   0.034,  0.22,   0.381,  260
MIL       ,      WMC.MI.csv,   6.295,  0.05,  0.15,   0.009,  0.52,   0.200,  260
VAN       ,       TEA.V.csv,   6.258,  0.01,  0.09,   0.010,  0.15,   0.781,  260
BSE       ,  ESARIND.BO.csv,   6.105,  0.01,  0.01,   0.007,  0.88,   0.485,  260
MUN       ,      LFL.MU.csv,   5.946,  0.03,  0.18,   0.011,  0.27,   0.350,  260
NSI       , SUPREMEINF.NS.csv,   5.928,  0.02,  0.04,   0.007,  0.67,   0.319,  260
BSE       ,      CTL.BO.csv,   5.787,  0.02,  0.04,   0.007,  0.70,   0.342,  260
NSI       ,   RADAAN.NS.csv,   5.766,  0.01,  0.03,   0.007,  0.60,   0.500,  260
FRA       ,       LA7.F.csv,   5.721,  0.12,  0.92,   0.068,  0.13,   0.581,  260
CPH       , ATLA-DKK.CO.csv,   5.706,  0.08,  0.43,   0.013,  0.37,   0.165,  260
BSE       ,  OVOBELE.BO.csv,   5.607,  0.01,  0.03,   0.007,  0.46,   0.504,  260
JKT       ,     BYAN.JK.csv,   5.435,  0.02,  0.05,   0.007,  0.57,   0.373,  260
IST       ,    SILVR.IS.csv,   5.332,  0.02,  0.04,   0.007,  0.74,   0.435,  260
STU       ,      CPD.SG.csv,   5.274,  0.03,  0.20,   0.016,  0.16,   0.608,  260
IST       ,    MARTI.IS.csv,   5.237,  0.01,  0.03,   0.007,  0.60,   0.504,  260
IST       ,    ISGYO.IS.csv,   5.123,  0.02,  0.04,   0.007,  0.69,   0.392,  260
 S.A. BANCO",      BVL.CR.csv,   5.093,  0.02,  0.16,   0.010,  0.30,   0.619,  260
NSI       , SPMLINFRA.NS.csv,   5.046,  0.02,  0.04,   0.006,  0.71,   0.277,  260
GER       ,     ERO1.DE.csv,   5.042,  0.03,  0.36,   0.018,  0.17,   0.527,  260
NSI       , DBREALTY.NS.csv,   4.974,  0.02,  0.04,   0.006,  0.69,   0.335,  260
IST       ,    HEKTS.IS.csv,   4.919,  0.02,  0.05,   0.007,  0.60,   0.312,  260
KLS       ,     5136.KL.csv,   4.799,  0.02,  0.05,   0.007,  0.42,   0.342,  260
PNK       ,       BNNLF.csv,   4.794,  0.10,  1.06,   0.037,  0.26,   0.365,  260
 Inc."    ,        TAPP.csv,   4.772,  0.02,  0.22,   0.015,  0.01,   0.962,  260
HKG       ,     0498.HK.csv,   4.722,  0.01,  0.09,   0.008,  0.23,   0.577,  260
BSE       , PMTELELIN.BO.csv,   4.719,  0.01,  0.04,   0.006,  0.52,   0.438,  260
BSE       , LUHARUKA.BO.csv,   4.649,  0.02,  0.05,   0.006,  0.62,   0.304,  260
65"       ,      EH8.MU.csv,   4.579,  0.01,  0.05,   0.007,  0.38,   0.481,  260
IST       ,     AYEN.IS.csv,   4.498,  0.02,  0.04,   0.006,  0.63,   0.312,  260
BSE       ,     KPEL.BO.csv,   4.442,  0.02,  0.04,   0.006,  0.65,   0.254,  260
 Ltd"     ,       SRXXF.csv,   4.381,  0.02,  0.23,   0.013,  0.04,   0.877,  260
BUE       ,     CAPX.BA.csv,   4.368,  0.02,  0.04,   0.006,  0.63,   0.338,  260
 Ltd."    ,   001570.KS.csv,   4.342,  0.02,  0.06,   0.006,  0.60,   0.369,  260
NSI       ,     ASAL.NS.csv,   4.309,  0.02,  0.04,   0.006,  0.71,   0.250,  260
JKT       ,     SRAJ.JK.csv,   4.305,  0.02,  0.06,   0.006,  0.36,   0.342,  260
LSE       ,       EDR.L.csv,   4.274,  0.01,  0.06,   0.006,  0.45,   0.438,  260
ASX       ,      AQC.AX.csv,   4.269,  0.02,  0.16,   0.010,  0.19,   0.458,  260
MUN       ,      1SZ.MU.csv,   4.250,  0.01,  0.05,   0.006,  0.33,   0.508,  260
BSE       ,   PMCFIN.BO.csv,   4.173,  0.02,  0.04,   0.006,  0.67,   0.246,  260
IST       ,    COSMO.IS.csv,   4.155,  0.02,  0.06,   0.006,  0.53,   0.288,  260
VAN       ,       RMR.V.csv,   4.089,  0.01,  0.15,   0.010,  0.01,   0.946,  260
 C."      ,     BVCC.CR.csv,   4.070,  0.01,  0.04,   0.006,  0.43,   0.473,  260
IST       ,    UZERB.IS.csv,   4.057,  0.02,  0.06,   0.006,  0.55,   0.285,  260
HKG       ,     0037.HK.csv,   4.017,  0.04,  0.29,   0.011,  0.22,   0.281,  260
NSI       , INDOTHAI.NS.csv,   4.012,  0.02,  0.04,   0.006,  0.68,   0.308,  260
BUE       ,    DGCU2.BA.csv,   3.981,  0.02,  0.03,   0.006,  0.67,   0.358,  260
FRA       ,      0TUA.F.csv,   3.956,  0.03,  0.09,   0.006,  0.52,   0.238,  260
IST       ,     BRKO.IS.csv,   3.937,  0.02,  0.05,   0.006,  0.50,   0.346,  260
BSE       ,    SPELS.BO.csv,   3.908,  0.02,  0.03,   0.005,  0.65,   0.262,  260
IST       ,    SKBNK.IS.csv,   3.906,  0.01,  0.04,   0.006,  0.56,   0.381,  260
NSI       , UGARSUGAR.NS.csv,   3.853,  0.02,  0.05,   0.006,  0.63,   0.308,  260
IST       ,    ASUZU.IS.csv,   3.823,  0.02,  0.05,   0.006,  0.55,   0.319,  260
IST       ,    VKING.IS.csv,   3.805,  0.03,  0.06,   0.006,  0.54,   0.215,  260
BSE       ,  VALIANT.BO.csv,   3.773,  0.02,  0.03,   0.005,  0.64,   0.335,  260
PNK       ,        CMFO.csv,   3.750,  1.26, 19.36,   1.144,  0.03,   0.908,  260
NSI       , FLEXITUFF.NS.csv,   3.717,  0.02,  0.04,   0.005,  0.68,   0.304,  260
BSE       , TRIVENIGQ.BO.csv,   3.718,  0.02,  0.04,   0.005,  0.65,   0.296,  260
NSI       ,   KERNEX.NS.csv,   3.717,  0.02,  0.03,   0.005,  0.66,   0.308,  260
TOR       ,      OSP.TO.csv,   3.708,  0.02,  0.07,   0.006,  0.51,   0.373,  260
PNK       ,       CATWF.csv,   3.687,  0.05,  0.59,   0.047,  0.01,   0.962,  260
04"       ,      0PQ.MU.csv,   3.656,  0.01,  0.08,   0.006,  0.36,   0.454,  260
ASX       ,      SPQ.AX.csv,   3.629,  0.02,  0.09,   0.006,  0.38,   0.323,  260
NSI       ,     LPDC.NS.csv,   3.619,  0.02,  0.04,   0.005,  0.65,   0.254,  260
10"       ,      VAW.MU.csv,   3.551,  0.01,  0.04,   0.005,  0.38,   0.531,  260
 Ltd."    ,   012320.KS.csv,   3.539,  0.02,  0.07,   0.006,  0.49,   0.373,  260
NSI       , ANSALAPI.NS.csv,   3.530,  0.01,  0.04,   0.005,  0.62,   0.342,  260
NSI       , BLBLIMITED.NS.csv,   3.501,  0.02,  0.04,   0.005,  0.63,   0.258,  260
ASX       ,      RNU.AX.csv,   3.488,  0.02,  0.07,   0.006,  0.46,   0.300,  260
ASX       ,      RMI.AX.csv,   3.486,  0.01,  0.08,   0.006,  0.34,   0.431,  260
BSE       , RITESHIN.BO.csv,   3.473,  0.02,  0.04,   0.005,  0.65,   0.304,  260
NSI       ,      SIL.NS.csv,   3.462,  0.01,  0.03,   0.005,  0.62,   0.335,  260
BSE       ,   COLINZ.BO.csv,   3.450,  0.01,  0.04,   0.005,  0.63,   0.362,  260
NSI       , PCJEWELLER.NS.csv,   3.398,  0.02,  0.04,   0.005,  0.61,   0.296,  260
NSI       ,   TECHIN.NS.csv,   3.394,  0.02,  0.04,   0.005,  0.64,   0.296,  260
IST       ,    ISBTR.IS.csv,   3.390,  0.02,  0.14,   0.007,  0.45,   0.327,  260
IST       ,     ALKA.IS.csv,   3.333,  0.02,  0.04,   0.005,  0.56,   0.308,  260
IST       ,     DESA.IS.csv,   3.303,  0.02,  0.05,   0.005,  0.55,   0.300,  260
BSE       , PRISMMEDI.BO.csv,   3.287,  0.02,  0.04,   0.005,  0.62,   0.304,  260
NSI       ,   HILTON.NS.csv,   3.267,  0.01,  0.04,   0.005,  0.61,   0.358,  260
BSE       , SAMRATPH.BO.csv,   3.258,  0.02,  0.04,   0.005,  0.62,   0.281,  260
IST       ,    OZGYO.IS.csv,   3.256,  0.02,  0.04,   0.005,  0.56,   0.312,  260
NSI       , TREEHOUSE.NS.csv,   3.251,  0.02,  0.05,   0.005,  0.60,   0.258,  260
NSI       , SHAHALLOYS.NS.csv,   3.244,  0.02,  0.04,   0.005,  0.65,   0.265,  260
 Inc."    ,       HOVVB.csv,   3.240,  0.02,  0.27,   0.015,  0.00,   0.962,  260
BSE       ,    BINNY.BO.csv,   3.236,  0.02,  0.04,   0.005,  0.60,   0.258,  260
BSE       ,  SACHEMT.BO.csv,   3.232,  0.02,  0.05,   0.005,  0.58,   0.238,  260
HKG       ,     0731.HK.csv,   3.222,  0.08,  0.92,   0.031,  0.15,   0.369,  260
BSE       , TUTIALKA.BO.csv,   3.208,  0.02,  0.04,   0.005,  0.62,   0.296,  260
NSI       ,     TTML.NS.csv,   3.197,  0.02,  0.04,   0.005,  0.69,   0.188,  260
MUN       ,     FR4N.MU.csv,   3.181,  0.01,  0.05,   0.005,  0.35,   0.427,  260
FRA       ,       7BR.F.csv,   3.170,  0.02,  0.09,   0.006,  0.45,   0.338,  260
NSI       ,      TRF.NS.csv,   3.164,  0.01,  0.05,   0.005,  0.47,   0.327,  260
NSI       ,  HUBTOWN.NS.csv,   3.163,  0.02,  0.04,   0.005,  0.63,   0.262,  260
MUN       ,     SWVK.MU.csv,   3.160,  0.01,  0.12,   0.008,  0.18,   0.685,  260
NSI       , SALSTEEL.NS.csv,   3.149,  0.02,  0.04,   0.005,  0.59,   0.281,  260
SET       ,    JTS-R.BK.csv,   3.147,  0.02,  0.08,   0.006,  0.47,   0.346,  260
NSI       , LGBFORGE.NS.csv,   3.144,  0.02,  0.05,   0.005,  0.61,   0.258,  260
NSI       ,     KECL.NS.csv,   3.133,  0.01,  0.04,   0.005,  0.65,   0.312,  260
BSE       , CRANESSOFT.BO.csv,   3.115,  0.02,  0.04,   0.005,  0.66,   0.292,  260
IST       ,    YESIL.IS.csv,   3.113,  0.01,  0.04,   0.005,  0.53,   0.319,  260
HKG       ,     0102.HK.csv,   3.095,  0.02,  0.12,   0.006,  0.28,   0.335,  260
STU       ,      1VT.SG.csv,   3.061,  0.02,  0.10,   0.005,  0.59,   0.223,  260
BSE       , ORIENTTR.BO.csv,   3.045,  0.02,  0.04,   0.005,  0.61,   0.288,  260
BSE       ,    VIRAT.BO.csv,   3.035,  0.02,  0.04,   0.005,  0.61,   0.292,  260
BSE       , VASINFRA.BO.csv,   3.000,  0.01,  0.04,   0.005,  0.45,   0.412,  260
 Inc."    ,        GLYC.csv,   2.993,  0.02,  0.08,   0.005,  0.43,   0.269,  260
01"       ,      BBY.DU.csv,   2.987,  0.02,  0.11,   0.006,  0.62,   0.231,  260
BSE       ,      MUL.BO.csv,   2.982,  0.02,  0.04,   0.004,  0.67,   0.288,  260
ASX       ,      SYA.AX.csv,   2.975,  0.02,  0.07,   0.005,  0.39,   0.327,  260
NSI       , BAGFILMS.NS.csv,   2.975,  0.02,  0.04,   0.004,  0.56,   0.296,  260
SES       ,      5FW.SI.csv,   2.970,  0.01,  0.11,   0.006,  0.20,   0.508,  260
IST       ,    THYAO.IS.csv,   2.950,  0.01,  0.03,   0.004,  0.62,   0.354,  260
NSI       , TANTIACONS.NS.csv,   2.949,  0.01,  0.03,   0.004,  0.68,   0.300,  260
IST       ,    KAPLM.IS.csv,   2.948,  0.02,  0.06,   0.005,  0.56,   0.296,  260
NSI       , A2ZINFRA.NS.csv,   2.913,  0.02,  0.04,   0.004,  0.59,   0.254,  260
TOR       ,      VLE.TO.csv,   2.910,  0.02,  0.13,   0.006,  0.37,   0.392,  260
HKG       ,     8326.HK.csv,   2.895,  0.02,  0.11,   0.005,  0.41,   0.273,  260
SET       ,      CPH.BK.csv,   2.879,  0.03,  0.12,   0.005,  0.31,   0.196,  260
IST       ,    PRKME.IS.csv,   2.865,  0.01,  0.04,   0.004,  0.56,   0.335,  260
 Ltd"     ,    8084.TWO.csv,   2.845,  0.01,  0.03,   0.004,  0.63,   0.288,  260
STO       ,     ANOT.ST.csv,   2.833,  0.02,  0.07,   0.005,  0.61,   0.215,  260
IST       ,    VAKBN.IS.csv,   2.816,  0.01,  0.05,   0.004,  0.53,   0.296,  260
BSE       ,    TIMEX.BO.csv,   2.814,  0.02,  0.04,   0.004,  0.61,   0.258,  260
IST       ,    OZRDN.IS.csv,   2.810,  0.02,  0.04,   0.004,  0.53,   0.269,  260
 Ltd."    ,   003610.KS.csv,   2.807,  0.01,  0.03,   0.004,  0.57,   0.408,  260
VAN       ,     RII-K.V.csv,   2.800,  0.01,  0.11,   0.007,  0.00,   0.969,  260
BSE       ,    LEHAR.BO.csv,   2.787,  0.02,  0.05,   0.004,  0.55,   0.254,  260
